ID_REGIAO,ID_UF,ID_MUNICIPIO,IN_PUBLICA,TX_RESP_Q01,IN_PRESENCA_LP,IN_PRESENCA_MT,PROFICIENCIA_LP_SAEB,PROFICIENCIA_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,NU_TIPO_NIVEL_INSE,PROFICIENCIA_TOTAL
3,32,6325267,1,Masculino,1,1,189.09,251.36,1,4,440.45000000000005
3,32,6325267,1,Feminino,1,1,275.52,261.03,1,5,536.55
3,32,6325267,1,Feminino,1,1,257.83,300.67,1,4,558.5
3,32,6325267,1,Feminino,1,1,320.39,294.18,1,5,614.5699999999999
3,32,6325267,1,Masculino,1,1,238.5,271.9,1,5,510.4
3,32,6325267,1,Masculino,1,1,300.81,270.17,1,6,570.98
3,32,6325267,1,Feminino,1,1,313.13,342.01,1,2,655.14
3,32,6325267,1,Feminino,1,1,265.36,232.87,1,3,498.23
3,32,6325267,1,Masculino,1,1,219.9,305.61,1,5,525.51
3,32,6325267,1,Masculino,1,1,312.32,341.27,1,3,653.5899999999999
3,32,6325267,1,Masculino,1,1,353.26,353.51,1,5,706.77
3,32,6325267,1,Feminino,1,1,336.89,345.76,1,5,682.65
3,32,6325267,1,Masculino,1,1,237.14,248.14,1,4,485.28
3,32,6325267,1,Feminino,1,1,278.53,269.3,1,3,547.8299999999999
3,32,6325267,1,Feminino,1,1,297.43,238.57,1,4,536.0
3,32,6325267,1,Masculino,1,1,318.55,297.47,1,4,616.02
3,32,6325267,1,Feminino,1,1,316.35,341.41,1,4,657.76
3,32,6325267,1,Feminino,1,1,380.17,306.65,1,2,686.8199999999999
3,32,6325267,1,Masculino,1,1,356.28,408.41,1,7,764.69
3,32,6325267,1,Masculino,1,1,204.24,258.5,1,4,462.74
3,32,6325267,1,Feminino,1,1,322.26,273.11,1,5,595.37
3,32,6325267,1,Feminino,1,1,264.95,285.38,1,4,550.3299999999999
3,32,6325267,1,Feminino,1,1,364.82,346.48,1,6,711.3
3,32,6325267,1,Masculino,1,1,170.44,255.68,1,3,426.12
3,32,6325267,1,Masculino,1,1,316.43,291.68,1,5,608.11
3,32,6325267,1,Masculino,1,1,256.76,361.74,1,3,618.5
3,32,6325267,1,Feminino,1,1,314.92,248.58,1,5,563.5
3,32,6325267,1,Feminino,1,1,268.24,235.94,1,4,504.18
3,32,6325267,1,Masculino,1,1,301.0,278.84,1,3,579.8399999999999
3,32,6325267,1,Masculino,1,1,247.66,228.13,1,1,475.78999999999996
3,32,6325267,1,Feminino,1,1,320.17,303.53,1,7,623.7
3,32,6325267,1,Feminino,1,1,325.3,299.22,1,4,624.52
3,32,6325267,1,Feminino,1,1,293.36,306.37,1,3,599.73
3,32,6325267,1,Feminino,1,1,200.2,209.39,1,4,409.59
3,32,6325267,1,Masculino,1,1,272.35,252.36,1,5,524.71
3,32,6325267,1,Masculino,1,1,262.02,298.1,1,7,560.12
3,32,6325267,1,Masculino,1,1,300.17,329.44,1,6,629.61
3,32,6325267,1,Masculino,1,1,284.88,297.75,1,5,582.63
3,32,6325267,1,Masculino,1,1,327.04,328.6,1,4,655.6400000000001
3,32,6325267,1,Feminino,1,1,232.47,175.16,1,7,407.63
3,32,6325267,1,Feminino,1,1,268.67,221.65,1,2,490.32000000000005
3,32,6325267,1,Masculino,1,1,331.02,353.22,1,5,684.24
3,32,6325267,1,Feminino,1,1,254.36,278.81,1,1,533.1700000000001
3,32,6325267,1,Feminino,1,1,238.13,257.84,1,7,495.96999999999997
3,32,6325267,1,Feminino,1,1,288.54,300.39,1,2,588.9300000000001
3,32,6325267,1,Feminino,1,1,285.44,269.11,1,2,554.55
3,32,6325267,1,Masculino,1,1,306.31,279.21,1,7,585.52
3,32,6325267,1,Feminino,1,1,337.52,279.87,1,1,617.39
3,32,6325267,1,Feminino,1,1,322.17,275.4,1,4,597.5699999999999
3,32,6325267,1,Feminino,1,1,404.09,315.67,1,2,719.76
3,32,6325267,1,Feminino,1,1,333.96,332.0,1,4,665.96
3,32,6325267,1,Masculino,1,1,186.87,244.0,1,3,430.87
3,32,6325267,1,Masculino,1,1,285.47,242.02,1,3,527.49
3,32,6325267,1,Masculino,1,1,276.99,342.78,1,3,619.77
3,32,6325267,1,Masculino,1,1,235.37,248.76,1,3,484.13
3,32,6325267,1,Masculino,1,1,249.74,279.19,1,2,528.9300000000001
3,32,6325267,1,Masculino,1,1,235.35,272.65,1,6,508.0
3,32,6325267,1,Feminino,1,1,232.62,200.79,1,3,433.40999999999997
3,32,6325267,1,Masculino,1,1,311.74,344.24,1,4,655.98
3,32,6325267,1,Masculino,1,1,314.84,301.04,1,1,615.88
3,32,6325267,1,Feminino,1,1,259.58,205.39,1,1,464.96999999999997
3,32,6325267,1,Masculino,1,1,267.22,244.07,1,7,511.29
3,32,6325267,1,Feminino,1,1,329.12,298.98,1,4,628.1
3,32,6325267,1,Masculino,1,1,308.65,291.2,1,6,599.8499999999999
